opponent,seed,orientation,hand_num,hand_id,hero_delta,street,pot,community_cards,showdown,hero_cards,hand_strength,action_log_tail
aggressor,50,0,12,deployed_aggressor_s50_o0_h0012,-8700,river,20000,9d 2s 9c 4h 9s,True,Ks As,Trips,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1200, ""seat"": 1}, {""action"": ""raise"", ""amount"": 4200, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 11300, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 8700, ""seat"": 0}]"
tight_aggressive,44,0,117,deployed_tight_aggressive_s44_o0_h0117,-8575,river,20000,4d 9s 4h 7c Ah,True,Jh Jc,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 875, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2000, ""seat"": 1}, {""action"": ""call"", ""amount"": 1125, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2640, ""seat"": 0}, {""action"": ""call"", ""amount"": 2640, ""seat"": 1}, {""action"": ""raise"", ""amount"": 6124, ""seat"": 0}, {""action"": ""call"", ""amount"": 6124, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 661, ""seat"": 0}]"
template,42,1,62,deployed_template_s42_o1_h0062,-8500,river,20000,3d Jh Ah 3s 5h,True,Qc Qh,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 450, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1575, ""seat"": 1}, {""action"": ""raise"", ""amount"": 6075, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 11500, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 8500, ""seat"": 0}]"
loose_aggressive,52,1,5,deployed_loose_aggressive_s52_o1_h0005,-8209,river,20000,7d 4h 3h 8h Qd,True,4d Ad,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 565, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1977, ""seat"": 1}, {""action"": ""raise"", ""amount"": 4264, ""seat"": 0}, {""action"": ""raise"", ""amount"": 9807, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 8209, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 1984, ""seat"": 1}]"
aggressor,42,1,22,deployed_aggressor_s42_o1_h0022,-7950,river,16500,5c Kc 2s Qs 6d,True,9s 9c,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""raise"", ""amount"": 3600, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 7950, ""seat"": 1}, {""action"": ""call"", ""amount"": 4350, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 200, ""seat"": 0}, {""action"": ""raise"", ""amount"": 400, ""seat"": 0}]"
shark,42,1,62,deployed_shark_s42_o1_h0062,-7950,river,20000,3d Jh Ah 3s 5h,True,Qc Qh,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 600, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2100, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 7950, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 12050, ""seat"": 1}]"
aggressor,47,1,56,deployed_aggressor_s47_o1_h0056,-7892,river,17540,2d Jc Kd 3s 5c,True,Kc Jd,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 800, ""seat"": 0}, {""action"": ""call"", ""amount"": 700, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1056, ""seat"": 1}, {""action"": ""raise"", ""amount"": 8448, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 7092, ""seat"": 1}, {""action"": ""raise"", ""amount"": 400, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}]"
aggressor,42,0,15,deployed_aggressor_s42_o0_h0015,-7500,river,20000,5d 4s Jc Qh 9h,True,Ah Jd,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""call"", ""amount"": 400, ""seat"": 1}, {""action"": ""raise"", ""amount"": 660, ""seat"": 0}, {""action"": ""call"", ""amount"": 660, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1531, ""seat"": 0}, {""action"": ""raise"", ""amount"": 6124, ""seat"": 1}, {""action"": ""call"", ""amount"": 4593, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 5216, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 216, ""seat"": 1}]"
shark,44,0,117,deployed_shark_s44_o0_h0117,-7150,river,20000,4d 9s 4h 7c Ah,True,Jh Jc,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 600, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2100, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 7150, ""seat"": 1}, {""action"": ""call"", ""amount"": 5050, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 5700, ""seat"": 0}]"
tight_aggressive,43,1,139,deployed_tight_aggressive_s43_o1_h0139,-6550,river,20000,6s 5s Kc 4d Kd,True,Jh Jc,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 600, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 4800, ""seat"": 0}, {""action"": ""call"", ""amount"": 2700, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 1750, ""seat"": 0}, {""action"": ""call"", ""amount"": 1750, ""seat"": 1}, {""action"": ""raise"", ""amount"": 6550, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 350, ""seat"": 1}]"
