opponent,seed,orientation,hand_num,hand_id,hero_delta,street,pot,community_cards,showdown,hero_cards,hand_strength,action_log_tail
aggressor,42,1,20,deployed_aggressor_s42_o1_h0020,-3450,river,20000,8d Jd 6h 5c 9c,True,Ah Kc,High Card,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 16550, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 3450, ""seat"": 0}]"
all_in_maniac,42,1,20,deployed_all_in_maniac_s42_o1_h0020,-3450,river,20000,8d Jd 6h 5c 9c,True,Ah Kc,High Card,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 3450, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 16550, ""seat"": 1}]"
tight_passive,42,1,9,deployed_tight_passive_s42_o1_h0009,-2536,river,5072,2c 3s 2s 6c 8s,True,7h Js,Pair,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 200, ""seat"": 1}, {""action"": ""call"", ""amount"": 100, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 266, ""seat"": 1}, {""action"": ""call"", ""amount"": 266, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 621, ""seat"": 1}, {""action"": ""call"", ""amount"": 621, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1449, ""seat"": 1}, {""action"": ""call"", ""amount"": 1449, ""seat"": 0}]"
tight_passive,42,1,91,deployed_tight_passive_s42_o1_h0091,-2536,river,5072,4d 9s 8c Ac 7c,True,7d Ks,Pair,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 200, ""seat"": 1}, {""action"": ""call"", ""amount"": 100, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 266, ""seat"": 1}, {""action"": ""call"", ""amount"": 266, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 621, ""seat"": 1}, {""action"": ""call"", ""amount"": 621, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1449, ""seat"": 1}, {""action"": ""call"", ""amount"": 1449, ""seat"": 0}]"
tight_passive,42,1,103,deployed_tight_passive_s42_o1_h0103,-2536,river,5072,Kc 9h 3c 5c 7s,True,Td 6d,High Card,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 200, ""seat"": 1}, {""action"": ""call"", ""amount"": 100, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 266, ""seat"": 1}, {""action"": ""call"", ""amount"": 266, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 621, ""seat"": 1}, {""action"": ""call"", ""amount"": 621, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1449, ""seat"": 1}, {""action"": ""call"", ""amount"": 1449, ""seat"": 0}]"
tight_passive,43,0,30,deployed_tight_passive_s43_o0_h0030,-2536,river,5072,Kc As Qc 8c 9s,True,2h 5d,High Card,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 200, ""seat"": 0}, {""action"": ""call"", ""amount"": 100, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 266, ""seat"": 0}, {""action"": ""call"", ""amount"": 266, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 621, ""seat"": 0}, {""action"": ""call"", ""amount"": 621, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1449, ""seat"": 0}, {""action"": ""call"", ""amount"": 1449, ""seat"": 1}]"
tight_passive,43,1,25,deployed_tight_passive_s43_o1_h0025,-2536,river,5072,8d 9s 3d 8h 7c,True,Jh 2c,Pair,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 200, ""seat"": 1}, {""action"": ""call"", ""amount"": 100, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 266, ""seat"": 1}, {""action"": ""call"", ""amount"": 266, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 621, ""seat"": 1}, {""action"": ""call"", ""amount"": 621, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1449, ""seat"": 1}, {""action"": ""call"", ""amount"": 1449, ""seat"": 0}]"
tight_passive,43,1,63,deployed_tight_passive_s43_o1_h0063,-2536,river,5072,6h 6c 9h Kh 8h,True,Td Js,Pair,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 200, ""seat"": 1}, {""action"": ""call"", ""amount"": 100, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 266, ""seat"": 1}, {""action"": ""call"", ""amount"": 266, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 621, ""seat"": 1}, {""action"": ""call"", ""amount"": 621, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1449, ""seat"": 1}, {""action"": ""call"", ""amount"": 1449, ""seat"": 0}]"
loose_passive,42,0,0,deployed_loose_passive_s42_o0_h0000,-2536,river,5072,9s Ts 3c Ac 7s,True,Ad 6h,Pair,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 200, ""seat"": 0}, {""action"": ""call"", ""amount"": 100, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 266, ""seat"": 0}, {""action"": ""call"", ""amount"": 266, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 621, ""seat"": 0}, {""action"": ""call"", ""amount"": 621, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1449, ""seat"": 0}, {""action"": ""call"", ""amount"": 1449, ""seat"": 1}]"
loose_passive,42,0,2,deployed_loose_passive_s42_o0_h0002,-2536,river,5072,3h 7h 6d 4s 8s,True,4h Jd,Pair,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 200, ""seat"": 0}, {""action"": ""call"", ""amount"": 100, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 266, ""seat"": 0}, {""action"": ""call"", ""amount"": 266, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 621, ""seat"": 0}, {""action"": ""call"", ""amount"": 621, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1449, ""seat"": 0}, {""action"": ""call"", ""amount"": 1449, ""seat"": 1}]"
