opponent,seed,orientation,hand_num,hand_id,hero_delta,street,pot,community_cards,showdown,hero_cards,hand_strength,action_log_tail
loose_passive,43,1,20,deployed_loose_passive_s43_o1_h0020,-4640,river,9280,Ac Qd As 6c Ad,True,7c 7h,Full House,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 500, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1000, ""seat"": 1}, {""action"": ""call"", ""amount"": 1000, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2640, ""seat"": 1}, {""action"": ""call"", ""amount"": 2640, ""seat"": 0}]"
tight_aggressive,42,1,62,deployed_tight_aggressive_s42_o1_h0062,-4600,preflop,13850,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""raise"", ""amount"": 875, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2000, ""seat"": 0}, {""action"": ""raise"", ""amount"": 4600, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 9250, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
aggressor,43,0,22,deployed_aggressor_s43_o0_h0022,-4200,preflop,15918,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1200, ""seat"": 1}, {""action"": ""raise"", ""amount"": 4200, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 11718, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
loose_aggressive,42,0,9,deployed_loose_aggressive_s42_o0_h0009,-4077,preflop,13419,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 235, ""seat"": 1}, {""action"": ""raise"", ""amount"": 822, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1773, ""seat"": 1}, {""action"": ""raise"", ""amount"": 4077, ""seat"": 0}, {""action"": ""raise"", ""amount"": 9342, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
loose_aggressive,43,0,9,deployed_loose_aggressive_s43_o0_h0009,-4077,preflop,13419,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 235, ""seat"": 1}, {""action"": ""raise"", ""amount"": 822, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1773, ""seat"": 1}, {""action"": ""raise"", ""amount"": 4077, ""seat"": 0}, {""action"": ""raise"", ""amount"": 9342, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
loose_aggressive,42,1,20,deployed_loose_aggressive_s42_o1_h0020,-3920,river,10719,8d Jd 6h 5c 9c,False,,,"[{""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 900, ""seat"": 0}, {""action"": ""call"", ""amount"": 900, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2520, ""seat"": 0}, {""action"": ""call"", ""amount"": 2520, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 2879, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
loose_aggressive,42,0,14,deployed_loose_aggressive_s42_o0_h0014,-3715,river,14117,6d Jc Qd 3c Kc,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""call"", ""amount"": 150, ""seat"": 1}, {""action"": ""raise"", ""amount"": 450, ""seat"": 1}, {""action"": ""call"", ""amount"": 450, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1260, ""seat"": 1}, {""action"": ""raise"", ""amount"": 3015, ""seat"": 0}, {""action"": ""call"", ""amount"": 1755, ""seat"": 1}, {""action"": ""raise"", ""amount"": 6687, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
loose_aggressive,42,1,22,deployed_loose_aggressive_s42_o1_h0022,-3546,flop,11879,5c Kc 2s,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 235, ""seat"": 0}, {""action"": ""raise"", ""amount"": 822, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1773, ""seat"": 0}, {""action"": ""call"", ""amount"": 951, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1773, ""seat"": 1}, {""action"": ""raise"", ""amount"": 6560, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
loose_aggressive,42,1,62,deployed_loose_aggressive_s42_o1_h0062,-3289,river,20000,3d Jh Ah 3s 5h,True,Qc Qh,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 235, ""seat"": 0}, {""action"": ""raise"", ""amount"": 822, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1773, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 3289, ""seat"": 1}, {""action"": ""raise"", ""amount"": 7844, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 8867, ""seat"": 0}]"
aggressor,42,1,6,deployed_aggressor_s42_o1_h0006,-3250,river,6500,8c 4s 5h 8h 2d,True,Ad 9d,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 3250, ""seat"": 0}, {""action"": ""call"", ""amount"": 2750, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}]"
