PUBLIC REPO DRIFT H2H 2026-05-29T00:30:21Z
name=dominic_live_master_100k_b142 repo=TobyCoad/fullhouse-engine head_sha=93516f33675d32beaeb3228a554c1323926cd71d bot_path=bots/master/bot.py
hero=/Users/farhad/Code/PokerBot/submissions/v_final.zip sha256=e4b4a8f11f801ecef2eca53629241e83cc9bace8ec74004f19368375f22d9598
opponent_src=consult/artifacts/2026-05-29-public-repo-drift/_clones/TobyCoad_fullhouse-engine/bots/master
opponent_zip=/Users/farhad/Code/PokerBot/consult/artifacts/2026-05-29-public-repo-drift/opponent_zips/dominic_live_master_100k_b142.zip sha256=d09ad23f6f76a3f8e05cc57561af6a75bd554da73c67c476307689842f8b3508
target_scheduled_hands=100000 match_len=500 seed_stride=1000
seed schedule: seed = base + k * seed_stride; each seed runs two seat orientations

seed=17142 o=0 hands=  31/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -322.58 hero_err=0 opp_err=0 dur=0.57s
seed=17142 o=1 hands=  16/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -625.00 hero_err=0 opp_err=0 dur=0.38s
seed=18142 o=0 hands=  21/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -476.19 hero_err=0 opp_err=0 dur=0.45s
seed=18142 o=1 hands=  30/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -333.33 hero_err=0 opp_err=0 dur=0.59s
seed=19142 o=0 hands=  17/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -588.24 hero_err=0 opp_err=0 dur=0.45s
seed=19142 o=1 hands=  37/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -270.27 hero_err=0 opp_err=0 dur=0.68s
seed=20142 o=0 hands=  29/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -344.83 hero_err=0 opp_err=0 dur=0.56s
seed=20142 o=1 hands=  54/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -185.19 hero_err=0 opp_err=0 dur=0.81s
seed=21142 o=0 hands=  38/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -263.16 hero_err=0 opp_err=0 dur=0.64s
seed=21142 o=1 hands=  17/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -588.24 hero_err=0 opp_err=0 dur=0.44s
seed=22142 o=0 hands=  12/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -833.33 hero_err=0 opp_err=0 dur=0.36s
seed=22142 o=1 hands=  46/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -217.39 hero_err=0 opp_err=0 dur=0.68s
seed=23142 o=0 hands=  59/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -169.49 hero_err=0 opp_err=0 dur=0.93s
seed=23142 o=1 hands=  20/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -500.00 hero_err=0 opp_err=0 dur=0.48s
seed=24142 o=0 hands=   3/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-3333.33 hero_err=0 opp_err=0 dur=0.26s
seed=24142 o=1 hands=  81/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -123.46 hero_err=0 opp_err=0 dur=1.11s
seed=25142 o=0 hands=   5/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=+2000.00 hero_err=0 opp_err=0 dur=0.28s
seed=25142 o=1 hands=   5/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-2000.00 hero_err=0 opp_err=0 dur=0.27s
seed=26142 o=0 hands=  29/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -344.83 hero_err=0 opp_err=0 dur=0.59s
seed=26142 o=1 hands=  44/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -227.27 hero_err=0 opp_err=0 dur=0.81s
seed=27142 o=0 hands=  19/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +526.32 hero_err=0 opp_err=0 dur=0.45s
