opponent,seed,orientation,hand_num,hand_id,street,pressure_kind,pressure_bot,pressure_action,pressure_amount,pressure_pot_after,pressure_event_index,fold_event_index,fold_pot,hero_delta,hero_chip_loss,final_street,final_pot,showdown,community_cards,action_log
adaptive_overfold_exploiter,2026060719,0,162,deployed_adaptive_overfold_exploiter_s2026060719_o0_h0162,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,2342,6002,8,9,6002,-1830,1830,flop,6002,False,7c 2h 6d,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""raise"", ""amount"": 523, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1830, ""seat"": 0}, {""action"": ""call"", ""amount"": 1307, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2342, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060719,1,64,deployed_adaptive_overfold_exploiter_s2026060719_o1_h0064,turn,turn_probe,adaptive_overfold_exploiter,raise,659,1527,10,11,1527,-434,434,turn,1527,False,Qh Ad 5s Js,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 217, ""seat"": 0}, {""action"": ""call"", ""amount"": 117, ""seat"": 1}, {""action"": ""raise"", ""amount"": 217, ""seat"": 1}, {""action"": ""call"", ""amount"": 217, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 659, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060719,1,126,deployed_adaptive_overfold_exploiter_s2026060719_o1_h0126,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,640,1640,8,9,1640,-500,500,flop,1640,False,3c 5c 4s,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 640, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
