mix,seed,thorp_seat,hand_num,hand_id,street,pressure_kind,pressure_bot,pressure_action,pressure_amount,pressure_pot_after,pressure_event_index,fold_event_index,fold_pot,hero_delta,hero_chip_loss,final_street,final_pot,showdown,community_cards,action_log
adaptive_overfold_pressure,2026060731,1,357,adaptive_overfold_pressure_seat1_seed2026060731_h0357,flop,flop_cbet_or_probe,adaptive_overfold_5,raise,416,1066,10,11,1066,-300,300,flop,1066,False,6d 7s Jd,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 4}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 300, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""call"", ""amount"": 200, ""seat"": 5}, {""action"": ""raise"", ""amount"": 416, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_pressure,2026060731,1,431,adaptive_overfold_pressure_seat1_seed2026060731_h0431,flop,flop_cbet_or_probe,adaptive_overfold_2,raise,832,2132,13,14,2132,-600,600,flop,2132,False,Qc 3c 9s,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 100, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 600, ""seat"": 1}, {""action"": ""call"", ""amount"": 500, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 832, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_pressure,2026060731,1,462,adaptive_overfold_pressure_seat1_seed2026060731_h0462,flop,flop_cbet_or_probe,adaptive_overfold_1,raise,704,1804,12,13,1804,-500,500,flop,1804,False,5c 7s Td,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""call"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 704, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_pressure,2026060731,1,539,adaptive_overfold_pressure_seat1_seed2026060731_h0539,flop,flop_cbet_or_probe,adaptive_overfold_4,raise,175,425,11,12,425,-100,100,flop,425,False,3d 6s 6h,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""call"", ""amount"": 100, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 175, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_pressure,2026060731,1,761,adaptive_overfold_pressure_seat1_seed2026060731_h0761,flop,flop_cbet_or_probe,adaptive_overfold_2,raise,309,793,11,12,793,-217,217,flop,793,False,Ac 9d 4d,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 217, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}, {""action"": ""call"", ""amount"": 117, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 309, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_pressure,2026060732,2,126,adaptive_overfold_pressure_seat2_seed2026060732_h0126,flop,flop_cbet_or_probe,adaptive_overfold_1,raise,174,474,12,14,474,-100,100,flop,474,False,2h 5s Ah,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""call"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 2}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 2}, {""action"": ""raise"", ""amount"": 174, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}]"
adaptive_overfold_pressure,2026060732,2,241,adaptive_overfold_pressure_seat2_seed2026060732_h0241,flop,flop_cbet_or_probe,adaptive_overfold_3,raise,350,850,11,12,850,-250,250,flop,850,False,6s 2h Ks,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 2}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 2}, {""action"": ""call"", ""amount"": 150, ""seat"": 3}, {""action"": ""check"", ""amount"": 0, ""seat"": 2}, {""action"": ""raise"", ""amount"": 350, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}]"
adaptive_overfold_pressure,2026060732,2,272,adaptive_overfold_pressure_seat2_seed2026060732_h0272,flop,flop_cbet_or_probe,adaptive_overfold_5,raise,805,1955,11,12,1955,-500,500,flop,1955,False,5d 3h Ac,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 3}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 4}, {""action"": ""call"", ""amount"": 100, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""call"", ""amount"": 400, ""seat"": 5}, {""action"": ""raise"", ""amount"": 805, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}]"
adaptive_overfold_pressure,2026060732,2,486,adaptive_overfold_pressure_seat2_seed2026060732_h0486,flop,flop_cbet_or_probe,adaptive_overfold_3,raise,832,2132,13,14,2132,-600,600,flop,2132,False,9h Ks 6h,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 2}, {""action"": ""call"", ""amount"": 100, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 600, ""seat"": 2}, {""action"": ""call"", ""amount"": 500, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 2}, {""action"": ""raise"", ""amount"": 832, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}]"
adaptive_overfold_pressure,2026060732,2,490,adaptive_overfold_pressure_seat2_seed2026060732_h0490,flop,flop_cbet_or_probe,adaptive_overfold_1,raise,416,1066,10,11,1066,-300,300,flop,1066,False,Kc 5d 3c,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 5}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 300, ""seat"": 2}, {""action"": ""fold"", ""amount"": 0, ""seat"": 3}, {""action"": ""fold"", ""amount"": 0, ""seat"": 4}, {""action"": ""fold"", ""amount"": 0, ""seat"": 5}, {""action"": ""call"", ""amount"": 200, ""seat"": 0}, {""action"": ""raise"", ""amount"": 416, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 2}]"
