opponent,seed,orientation,hand_num,hand_id,hero_delta,street,pot,community_cards,showdown,hero_cards,hand_strength,action_log_tail
shark,43,1,139,deployed_shark_s43_o1_h0139,-6350,river,20000,6s 5s Kc 4d Kd,True,Jh Jc,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1200, ""seat"": 0}, {""action"": ""raise"", ""amount"": 4200, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 6350, ""seat"": 0}, {""action"": ""raise"", ""amount"": 6963, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 2487, ""seat"": 1}]"
tight_passive,42,1,62,deployed_tight_passive_s42_o1_h0062,-6243,river,12486,3d Jh Ah 3s 5h,True,Qc Qh,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""raise"", ""amount"": 660, ""seat"": 1}, {""action"": ""call"", ""amount"": 660, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1531, ""seat"": 1}, {""action"": ""call"", ""amount"": 1531, ""seat"": 0}, {""action"": ""raise"", ""amount"": 3552, ""seat"": 1}, {""action"": ""call"", ""amount"": 3552, ""seat"": 0}]"
template,43,1,139,deployed_template_s43_o1_h0139,-6050,river,20000,6s 5s Kc 4d Kd,True,Jh Jc,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1050, ""seat"": 0}, {""action"": ""raise"", ""amount"": 3675, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 6050, ""seat"": 0}, {""action"": ""raise"", ""amount"": 6418, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 3857, ""seat"": 1}]"
aggressor,42,0,15,deployed_aggressor_s42_o0_h0015,-5496,river,20000,5d 4s Jc Qh 9h,True,Ah Jd,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2700, ""seat"": 1}, {""action"": ""raise"", ""amount"": 9450, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 5496, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 5054, ""seat"": 0}]"
loose_aggressive,43,1,0,deployed_loose_aggressive_s43_o1_h0000,-5188,river,15188,Qh 3c 7c 2d 6c,False,,,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 235, ""seat"": 0}, {""action"": ""call"", ""amount"": 135, ""seat"": 1}, {""action"": ""raise"", ""amount"": 235, ""seat"": 1}, {""action"": ""raise"", ""amount"": 869, ""seat"": 0}, {""action"": ""call"", ""amount"": 634, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1104, ""seat"": 1}, {""action"": ""raise"", ""amount"": 4084, ""seat"": 0}, {""action"": ""call"", ""amount"": 2980, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 4812, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
loose_passive,44,0,7,deployed_loose_passive_s44_o0_h0007,-5052,river,11295,Ac Kd 7h 2c 7d,True,Qd Ks,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""call"", ""amount"": 400, ""seat"": 1}, {""action"": ""raise"", ""amount"": 660, ""seat"": 0}, {""action"": ""call"", ""amount"": 660, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1531, ""seat"": 0}, {""action"": ""call"", ""amount"": 1531, ""seat"": 1}, {""action"": ""raise"", ""amount"": 3552, ""seat"": 0}, {""action"": ""call"", ""amount"": 3552, ""seat"": 1}]"
loose_aggressive,42,1,40,deployed_loose_aggressive_s42_o1_h0040,-4700,river,14401,3c Qc 9c 3d 7c,False,,,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 500, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1000, ""seat"": 1}, {""action"": ""raise"", ""amount"": 3700, ""seat"": 0}, {""action"": ""call"", ""amount"": 2700, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 5001, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
loose_passive,43,1,20,deployed_loose_passive_s43_o1_h0020,-4640,river,9280,Ac Qd As 6c Ad,True,7c 7h,Full House,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 500, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1000, ""seat"": 1}, {""action"": ""call"", ""amount"": 1000, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2640, ""seat"": 1}, {""action"": ""call"", ""amount"": 2640, ""seat"": 0}]"
tight_aggressive,42,1,62,deployed_tight_aggressive_s42_o1_h0062,-4600,preflop,14900,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""raise"", ""amount"": 875, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2000, ""seat"": 0}, {""action"": ""raise"", ""amount"": 4600, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 10300, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
loose_aggressive,42,1,20,deployed_loose_aggressive_s42_o1_h0020,-4338,river,8676,8d Jd 6h 5c 9c,True,Ah Kc,High Card,"[{""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 900, ""seat"": 0}, {""action"": ""call"", ""amount"": 900, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2520, ""seat"": 0}, {""action"": ""call"", ""amount"": 2520, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 418, ""seat"": 0}, {""action"": ""call"", ""amount"": 418, ""seat"": 1}]"
