opponent,seed,orientation,hand_num,hand_id,street,pressure_kind,pressure_bot,pressure_action,pressure_amount,pressure_pot_after,pressure_event_index,fold_event_index,fold_pot,hero_delta,hero_chip_loss,final_street,final_pot,showdown,community_cards,action_log
adaptive_overfold_exploiter,2026060732,0,63,deployed_adaptive_overfold_exploiter_s2026060732_o0_h0063,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,277,711,7,8,711,-217,217,flop,711,False,2d 4d 4c,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 217, ""seat"": 1}, {""action"": ""call"", ""amount"": 117, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 277, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060732,1,186,deployed_adaptive_overfold_exploiter_s2026060732_o1_h0186,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,128,328,7,8,328,-100,100,flop,328,False,4c 6s 9s,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 128, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060733,1,70,deployed_adaptive_overfold_exploiter_s2026060733_o1_h0070,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,128,328,7,8,328,-100,100,flop,328,False,Ad 7c 2d,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 128, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060734,0,79,deployed_adaptive_overfold_exploiter_s2026060734_o0_h0079,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,277,711,7,8,711,-217,217,flop,711,False,7h 2h 5s,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 217, ""seat"": 1}, {""action"": ""call"", ""amount"": 117, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 277, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060734,1,2,deployed_adaptive_overfold_exploiter_s2026060734_o1_h0002,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,128,328,7,8,328,-100,100,flop,328,False,Ts 4h 4s,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 128, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060735,0,188,deployed_adaptive_overfold_exploiter_s2026060735_o0_h0188,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,350,850,6,7,850,-250,250,flop,850,False,Jh 2c Ts,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""call"", ""amount"": 150, ""seat"": 1}, {""action"": ""raise"", ""amount"": 350, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060735,1,12,deployed_adaptive_overfold_exploiter_s2026060735_o1_h0012,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,128,328,7,8,328,-100,100,flop,328,False,Tc Kd 4s,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 128, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060736,1,53,deployed_adaptive_overfold_exploiter_s2026060736_o1_h0053,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,350,850,6,7,850,-250,250,flop,850,False,7s 7c 7h,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""call"", ""amount"": 150, ""seat"": 0}, {""action"": ""raise"", ""amount"": 350, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060738,1,15,deployed_adaptive_overfold_exploiter_s2026060738_o1_h0015,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,320,820,6,7,820,-250,250,flop,820,False,Ac 5h 8d,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""call"", ""amount"": 150, ""seat"": 0}, {""action"": ""raise"", ""amount"": 320, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060739,0,188,deployed_adaptive_overfold_exploiter_s2026060739_o0_h0188,turn,turn_barrel,adaptive_overfold_exploiter,raise,695,1835,9,10,1835,-570,570,turn,1835,False,7d 3d Ts Ac,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""call"", ""amount"": 150, ""seat"": 1}, {""action"": ""raise"", ""amount"": 320, ""seat"": 1}, {""action"": ""call"", ""amount"": 320, ""seat"": 0}, {""action"": ""raise"", ""amount"": 695, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
adaptive_overfold_exploiter,2026060739,1,22,deployed_adaptive_overfold_exploiter_s2026060739_o1_h0022,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,3275,10265,10,11,10265,-3495,3495,flop,10265,False,8c 6d 3d,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 217, ""seat"": 0}, {""action"": ""raise"", ""amount"": 759, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1520, ""seat"": 0}, {""action"": ""raise"", ""amount"": 3495, ""seat"": 1}, {""action"": ""call"", ""amount"": 1975, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 3275, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060739,1,34,deployed_adaptive_overfold_exploiter_s2026060739_o1_h0034,turn,turn_probe,adaptive_overfold_exploiter,raise,304,704,10,11,704,-200,200,turn,704,False,Th Qd 7s 8s,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 100, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 304, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060739,1,93,deployed_adaptive_overfold_exploiter_s2026060739_o1_h0093,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,350,850,6,7,850,-250,250,flop,850,False,6h 8c 8s,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""call"", ""amount"": 150, ""seat"": 0}, {""action"": ""raise"", ""amount"": 350, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060739,1,120,deployed_adaptive_overfold_exploiter_s2026060739_o1_h0120,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,110,310,7,8,310,-100,100,flop,310,False,Qs 6s Jc,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 110, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060740,1,88,deployed_adaptive_overfold_exploiter_s2026060740_o1_h0088,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,640,1640,8,9,1640,-500,500,flop,1640,False,9s Ah 8d,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 640, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060740,1,92,deployed_adaptive_overfold_exploiter_s2026060740_o1_h0092,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,303,737,7,8,737,-217,217,flop,737,False,Jh Jc Ah,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 217, ""seat"": 0}, {""action"": ""call"", ""amount"": 117, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 303, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060741,1,191,deployed_adaptive_overfold_exploiter_s2026060741_o1_h0191,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,320,820,6,7,820,-250,250,flop,820,False,As 2c 5c,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""call"", ""amount"": 150, ""seat"": 0}, {""action"": ""raise"", ""amount"": 320, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
adaptive_overfold_exploiter,2026060744,1,58,deployed_adaptive_overfold_exploiter_s2026060744_o1_h0058,flop,flop_cbet_or_probe,adaptive_overfold_exploiter,raise,128,328,7,8,328,-100,100,flop,328,False,3h Ac 2d,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 128, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
