PUBLIC SATURATION 2026-05-28T01:24:41Z
opponent=famadeo base=242
hero=/Users/farhad/Code/PokerBot/submissions/v_final.zip sha256=e4b4a8f11f801ecef2eca53629241e83cc9bace8ec74004f19368375f22d9598
opponent_zip=/Users/farhad/Code/PokerBot/consult/artifacts/2026-05-28-public-saturation/opponent_zips/famadeo.zip sha256=aa14124b4b7456155a8528573d653d0fa2e5c5816ca08b127bfef7af8fd3a531
target_scheduled_hands=100000 match_len=500 seed_stride=1000
seed schedule: seed = base + k * seed_stride; each seed runs two seat orientations

seed=75242 o=0 hands= 133/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -75.19 hero_err=0 opp_err=0 dur=5.55s
seed=75242 o=1 hands=  92/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -108.70 hero_err=0 opp_err=0 dur=3.87s
seed=76242 o=0 hands=  37/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +270.27 hero_err=0 opp_err=0 dur=2.16s
seed=76242 o=1 hands=  52/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -192.31 hero_err=0 opp_err=0 dur=2.41s
seed=77242 o=0 hands=  81/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -123.46 hero_err=0 opp_err=0 dur=3.77s
seed=77242 o=1 hands=  54/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -185.19 hero_err=0 opp_err=0 dur=3.00s
seed=78242 o=0 hands= 165/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +60.61 hero_err=0 opp_err=0 dur=6.46s
seed=78242 o=1 hands=  52/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +192.31 hero_err=0 opp_err=0 dur=2.48s
seed=79242 o=0 hands= 103/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +97.09 hero_err=0 opp_err=0 dur=4.44s
seed=79242 o=1 hands=  47/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +212.77 hero_err=0 opp_err=0 dur=2.10s
seed=80242 o=0 hands=  19/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -526.32 hero_err=0 opp_err=0 dur=2.25s
seed=80242 o=1 hands= 118/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +84.75 hero_err=0 opp_err=0 dur=4.80s
seed=81242 o=0 hands=  86/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -116.28 hero_err=0 opp_err=0 dur=3.29s
seed=81242 o=1 hands= 301/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +33.22 hero_err=0 opp_err=0 dur=10.56s
seed=82242 o=0 hands= 188/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +53.19 hero_err=0 opp_err=0 dur=7.34s
seed=82242 o=1 hands= 134/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +74.63 hero_err=0 opp_err=0 dur=5.55s
seed=83242 o=0 hands= 107/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -93.46 hero_err=0 opp_err=0 dur=4.03s
seed=83242 o=1 hands= 425/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +23.53 hero_err=0 opp_err=0 dur=16.09s
seed=84242 o=0 hands= 265/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -37.74 hero_err=0 opp_err=0 dur=10.01s
seed=84242 o=1 hands=  62/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -161.29 hero_err=0 opp_err=0 dur=2.70s
seed=85242 o=0 hands= 245/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -40.82 hero_err=0 opp_err=0 dur=8.65s
seed=85242 o=1 hands= 190/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +52.63 hero_err=0 opp_err=0 dur=7.89s
seed=86242 o=0 hands=  61/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +163.93 hero_err=0 opp_err=0 dur=2.75s
seed=86242 o=1 hands= 114/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -87.72 hero_err=0 opp_err=0 dur=3.84s
seed=87242 o=0 hands=  77/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +129.87 hero_err=0 opp_err=0 dur=3.36s
seed=87242 o=1 hands=  52/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -192.31 hero_err=0 opp_err=0 dur=2.43s
seed=88242 o=0 hands= 145/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -68.97 hero_err=0 opp_err=0 dur=5.21s
seed=88242 o=1 hands= 114/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +87.72 hero_err=0 opp_err=0 dur=4.63s
seed=89242 o=0 hands=  73/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -136.99 hero_err=0 opp_err=0 dur=3.40s
seed=89242 o=1 hands=  98/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -102.04 hero_err=0 opp_err=0 dur=4.53s
seed=90242 o=0 hands=  47/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -212.77 hero_err=0 opp_err=0 dur=2.42s
seed=90242 o=1 hands=  12/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -833.33 hero_err=0 opp_err=0 dur=1.35s
seed=91242 o=0 hands= 372/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +26.88 hero_err=0 opp_err=0 dur=13.30s
seed=91242 o=1 hands=  31/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -322.58 hero_err=0 opp_err=0 dur=1.62s
seed=92242 o=0 hands=  62/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +161.29 hero_err=0 opp_err=0 dur=2.67s
seed=92242 o=1 hands=  85/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +117.65 hero_err=0 opp_err=0 dur=3.27s
seed=93242 o=0 hands=  25/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -400.00 hero_err=0 opp_err=0 dur=1.78s
seed=93242 o=1 hands= 100/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +100.00 hero_err=0 opp_err=0 dur=3.95s
seed=94242 o=0 hands= 124/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +80.65 hero_err=0 opp_err=0 dur=4.40s
seed=94242 o=1 hands= 125/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +80.00 hero_err=0 opp_err=0 dur=5.08s
seed=95242 o=0 hands=  51/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +196.08 hero_err=0 opp_err=0 dur=2.61s
seed=95242 o=1 hands=  50/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +200.00 hero_err=0 opp_err=0 dur=2.02s
seed=96242 o=0 hands=  49/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -204.08 hero_err=0 opp_err=0 dur=2.52s
seed=96242 o=1 hands=  19/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +526.32 hero_err=0 opp_err=0 dur=1.39s
seed=97242 o=0 hands=  47/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -212.77 hero_err=0 opp_err=0 dur=2.40s
seed=97242 o=1 hands= 162/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual=  +61.73 hero_err=0 opp_err=0 dur=6.86s
seed=98242 o=0 hands=  16/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -625.00 hero_err=0 opp_err=0 dur=1.25s
seed=98242 o=1 hands= 246/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=  -40.65 hero_err=0 opp_err=0 dur=8.98s
seed=99242 o=0 hands=  26/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -384.62 hero_err=0 opp_err=0 dur=1.86s
seed=99242 o=1 hands=  20/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +500.00 hero_err=0 opp_err=0 dur=2.29s

SUMMARY_JSON {"attempted_hands": 100000, "base": 242, "ci_half_width": 2.8, "ci_high": 3.0, "ci_low": -2.6, "created_at": "2026-05-28T01:40:28Z", "early_bust_matches": 200, "early_bust_rate": 1.0, "hands_played": 21942, "hero_actual_bb_per_100": 0.9114939385653086, "hero_bb_per_100": 0.2, "hero_chip_delta": 20000, "hero_errors": 0, "hero_max_decide_latency_s": 0.2899308339692652, "hero_p99_decide_latency_s": 0.05888216709718108, "hero_zip": {"data_bytes": 19758, "has_root_bot_py": true, "path": "/Users/farhad/Code/PokerBot/submissions/v_final.zip", "sha256": "e4b4a8f11f801ecef2eca53629241e83cc9bace8ec74004f19368375f22d9598", "size_bytes": 28208}, "json_path": "/Users/farhad/Code/PokerBot/consult/artifacts/2026-05-28-public-saturation/famadeo_s242.json", "log_path": "/Users/farhad/Code/PokerBot/consult/artifacts/2026-05-28-public-saturation/famadeo_s242.log", "match_len": 500, "matches": 200, "opponent": "famadeo", "opponent_errors": 0, "opponent_p99_decide_latency_s": 0.06298658391460776, "opponent_zip": {"data_bytes": 60987, "has_root_bot_py": true, "path": "/Users/farhad/Code/PokerBot/consult/artifacts/2026-05-28-public-saturation/opponent_zips/famadeo.zip", "sha256": "aa14124b4b7456155a8528573d653d0fa2e5c5816ca08b127bfef7af8fd3a531", "size_bytes": 29734}, "seed_pairs": 100, "seed_stride": 1000, "stdout_noise": {}, "stdout_noise_examples": {}, "target_scheduled_hands": 100000, "verdict": "GREEN"}
SUMMARY opponent=famadeo base=242 verdict=GREEN bb100=+0.20 ci=[-2.60,+3.00] half_width=2.80 scheduled=100000 actual_hands=21942 early_bust_rate=1.000 hero_errors=0 hero_p99_latency_s=0.0589
