[gate] candidate=consult/artifacts/2026-05-31-scratch-improve/gate-harness/true_noop_candidate.zip sha=e4b4a8f11f80 run_dir=consult/artifacts/2026-05-31-scratch-improve/gate-harness/runs/floor_truenoop_40seed
[gate] Stage 1 SKIPPED (--skip-stage1)
[gate] Stage 2 SKIPPED (--skip-stage2)
[gate:candidate] hero=consult/artifacts/2026-05-31-scratch-improve/gate-harness/true_noop_candidate.zip comps=C0,C1 hands=400 seeds=142..181 jobs=1 pending=80 resumed=0
[gate:candidate] C1 seed=149 hands=400/400 delta=-10000 bust=1 hero_err=0/21 p99_ms=1.570 dur=3.52s
[gate:candidate] C1 seed=150 hands=400/400 delta=+773 bust=0 hero_err=0/523 p99_ms=0.476 dur=2.73s
[gate:candidate] C1 seed=151 hands=400/400 delta=-10000 bust=1 hero_err=0/132 p99_ms=0.690 dur=3.31s
[gate:candidate] C1 seed=152 hands=400/400 delta=+23828 bust=0 hero_err=0/474 p99_ms=0.577 dur=1.07s
[gate:candidate] C1 seed=153 hands=400/400 delta=-10000 bust=1 hero_err=0/368 p99_ms=0.671 dur=2.35s
[gate:candidate] C1 seed=154 hands=400/400 delta=-6265 bust=0 hero_err=0/584 p99_ms=0.558 dur=2.25s
[gate:candidate] C1 seed=155 hands=400/400 delta=-10000 bust=1 hero_err=0/292 p99_ms=0.671 dur=3.15s
[gate:candidate] C1 seed=156 hands=400/400 delta=-10000 bust=1 hero_err=0/36 p99_ms=0.846 dur=4.05s
[gate:candidate] C1 seed=157 hands=400/400 delta=-5222 bust=0 hero_err=0/554 p99_ms=0.632 dur=2.28s
[gate:candidate] C1 seed=158 hands=400/400 delta=-10000 bust=1 hero_err=0/3 p99_ms=0.399 dur=3.82s
[gate:candidate] C1 seed=159 hands=400/400 delta=+26445 bust=0 hero_err=0/388 p99_ms=1.622 dur=1.27s
[gate:candidate] C1 seed=160 hands=400/400 delta=+11860 bust=0 hero_err=0/404 p99_ms=0.687 dur=1.5s
[gate:candidate] C1 seed=161 hands=400/400 delta=-10000 bust=1 hero_err=0/88 p99_ms=0.757 dur=3.47s
[gate:candidate] C1 seed=162 hands=400/400 delta=+29642 bust=0 hero_err=0/643 p99_ms=0.679 dur=2.79s
[gate:candidate] C1 seed=163 hands=400/400 delta=-10000 bust=1 hero_err=0/80 p99_ms=2.332 dur=3.35s
[gate:candidate] C1 seed=164 hands=400/400 delta=+47310 bust=0 hero_err=0/507 p99_ms=0.636 dur=2.21s
[gate:candidate] C1 seed=165 hands=400/400 delta=-10000 bust=1 hero_err=0/35 p99_ms=0.896 dur=3.49s
[gate:candidate] C1 seed=166 hands=400/400 delta=-10000 bust=1 hero_err=0/218 p99_ms=0.703 dur=3.33s
[gate:candidate] C1 seed=167 hands=400/400 delta=+30672 bust=0 hero_err=0/515 p99_ms=0.628 dur=2.12s
[gate:candidate] C1 seed=168 hands=400/400 delta=+27712 bust=0 hero_err=0/551 p99_ms=0.687 dur=2.39s
[gate:candidate] C1 seed=169 hands=400/400 delta=-4950 bust=0 hero_err=0/656 p99_ms=0.587 dur=2.83s
[gate:candidate] C1 seed=170 hands=400/400 delta=+38780 bust=0 hero_err=0/380 p99_ms=0.566 dur=1.18s
[gate:candidate] C1 seed=171 hands=400/400 delta=+28649 bust=0 hero_err=0/474 p99_ms=0.588 dur=0.97s
[gate:candidate] C1 seed=172 hands=393/400 delta=-10000 bust=1 hero_err=0/605 p99_ms=0.789 dur=2.6s
[gate:candidate] C1 seed=173 hands=400/400 delta=+44279 bust=0 hero_err=0/513 p99_ms=0.803 dur=1.38s
[gate:candidate] C1 seed=174 hands=400/400 delta=+12266 bust=0 hero_err=0/490 p99_ms=0.638 dur=1.39s
[gate:candidate] C1 seed=175 hands=400/400 delta=-10000 bust=1 hero_err=0/233 p99_ms=0.640 dur=2.5s
[gate:candidate] C1 seed=176 hands=400/400 delta=+46046 bust=0 hero_err=0/436 p99_ms=2.393 dur=1.95s
[gate:candidate] C1 seed=177 hands=400/400 delta=+3340 bust=0 hero_err=0/553 p99_ms=0.667 dur=2.36s
[gate:candidate] C1 seed=178 hands=400/400 delta=+24717 bust=0 hero_err=0/479 p99_ms=0.748 dur=1.5s
[gate:candidate] C1 seed=179 hands=400/400 delta=+2420 bust=0 hero_err=0/476 p99_ms=0.568 dur=1.17s
[gate:candidate] C1 seed=180 hands=400/400 delta=+7036 bust=0 hero_err=0/479 p99_ms=0.706 dur=1.12s
[gate:candidate] C1 seed=181 hands=400/400 delta=+15091 bust=0 hero_err=0/469 p99_ms=0.623 dur=1.18s
[gate:locked] hero=submissions/v_final.zip comps=C0,C1 hands=400 seeds=142..181 jobs=1 pending=80 resumed=0
[gate:locked] C0 seed=142 hands=179/400 delta=-10000 bust=1 hero_err=0/103 p99_ms=1.578 dur=0.56s
[gate:locked] C0 seed=143 hands=400/400 delta=-10000 bust=1 hero_err=0/208 p99_ms=1.022 dur=1.01s
[gate:locked] C0 seed=144 hands=400/400 delta=-10000 bust=1 hero_err=0/118 p99_ms=1.992 dur=0.97s
[gate:locked] C0 seed=145 hands=400/400 delta=-10000 bust=1 hero_err=0/77 p99_ms=1.487 dur=1.02s
[gate:locked] C0 seed=146 hands=400/400 delta=+17268 bust=0 hero_err=0/474 p99_ms=0.990 dur=1.0s
[gate:locked] C0 seed=147 hands=255/400 delta=-10000 bust=1 hero_err=0/69 p99_ms=1.562 dur=0.71s
[gate:locked] C0 seed=148 hands=400/400 delta=-10000 bust=1 hero_err=0/301 p99_ms=1.020 dur=0.9s
[gate:locked] C0 seed=149 hands=400/400 delta=-10000 bust=1 hero_err=0/58 p99_ms=1.164 dur=0.91s
[gate:locked] C0 seed=150 hands=400/400 delta=-10000 bust=1 hero_err=0/62 p99_ms=2.730 dur=0.99s
[gate:locked] C0 seed=151 hands=400/400 delta=+10850 bust=0 hero_err=0/468 p99_ms=1.142 dur=0.98s
[gate:locked] C0 seed=152 hands=400/400 delta=-10000 bust=1 hero_err=0/98 p99_ms=1.107 dur=0.87s
[gate:locked] C0 seed=153 hands=400/400 delta=+2150 bust=0 hero_err=0/462 p99_ms=1.048 dur=1.0s
[gate:locked] C0 seed=154 hands=400/400 delta=+5903 bust=0 hero_err=0/487 p99_ms=1.201 dur=1.09s
[gate:locked] C0 seed=155 hands=400/400 delta=+5721 bust=0 hero_err=0/472 p99_ms=1.115 dur=1.0s
[gate:locked] C0 seed=156 hands=400/400 delta=+11707 bust=0 hero_err=0/480 p99_ms=0.999 dur=0.98s
[gate:locked] C0 seed=157 hands=400/400 delta=-10000 bust=1 hero_err=0/55 p99_ms=1.134 dur=0.81s
[gate:locked] C0 seed=158 hands=329/400 delta=-10000 bust=1 hero_err=0/72 p99_ms=1.174 dur=0.81s
[gate:locked] C0 seed=159 hands=400/400 delta=-10000 bust=1 hero_err=0/119 p99_ms=1.153 dur=1.06s
[gate:locked] C0 seed=160 hands=400/400 delta=+4974 bust=0 hero_err=0/527 p99_ms=1.048 dur=0.88s
[gate:locked] C0 seed=161 hands=305/400 delta=-10000 bust=1 hero_err=0/121 p99_ms=1.956 dur=0.78s
[gate:locked] C0 seed=162 hands=400/400 delta=-10000 bust=1 hero_err=0/205 p99_ms=1.051 dur=0.89s
